"Oregon Liquor Control Commission Price Changes - Effective July 01, 2018"
"NOTE","ITEM NBR","STATUS CODE","BOTTLE PRICE","CASE PRICE","DESCRIPTION","PRICE CHANGE"
,"3321E","S",29.95,$359.40,"SKIP ROCK NOCINO LIQUEUR",1.00-
,"3328B","R",34.95,$419.40,"JAMESON CASKMATES",3.00
,"3343B","S",48.95,$293.70,"AVUA OAK",11.00-
"#","3377B","V",143.90,$863.40,"FIDENCIO TEPEXTATE",2.05-
,"3528A","S",35.95,$215.70,"CYNAR 70 PRF",1.00
"#","3555B","V",176.90,$353.80,"PURO PERU NUSTA",6.05-
,"3649B","S",64.05,$384.30,"EL LUCHADOR ORGANIC BLANCO",9.00
,"3659B","H",18.95,$113.70,"JACK DANIEL'S TN FIRE W/WA",2.00-
"#","3661B","S",27.95,$167.70,"RUTTE CELERY GIN",0.00
"#","3702B","V",82.95,$497.70,"LA VENENOSA SIERRA MAXIMIL",2.00-
,"3753B","S",40.95,$491.40,"PURKHART PEAR WILLIAMS EAU",2.00-
,"3773B","H",28.95,$173.70,"BUSHMILLS 80PF W/ BLKBUSH",4.00
,"3800B","S",50.95,$305.70,"JAMES E PEPPER 1776 BARREL",2.00
,"3834B","R",39.95,$479.40,"THE GLENLIVET FOUNDERS RES",3.00
,"3891B","B",31.95,$191.70,"BUSHMILLS BLACK W/ICE BALL",3.00
,"3893B","H",18.95,$113.70,"JACK DANIEL'S TENN. FIRE W",2.00-
"*","3938H","S",44.85,$269.10,"KOLOA RUM RUM PUNCH",0.00
,"4021B","S",24.00,$144.00,"PLANTATION ORIGINAL DARK",6.05
,"4022A","S",38.95,$233.70,"PLANTATION OFTD OVERPROOF",12.00
,"4056B","S",23.95,$287.40,"MELETTI DRY ANISETTE",1.00
,"4113B","S",29.95,$359.40,"HAYMANS LONDON DRY GIN",1.00
,"4121B","S",54.95,$329.70,"SAN MATIAS TAHONA BLANCO",5.00-
"*","4133H","T",44.95,$269.70,"TOWNSHEND'S GIN",0.00
"*","4149F","S",2.00,$240.00,"ABSOLUT LIME",0.00
"#","4201B","V",334.95,"$2,009.70","SPRINGBANK 19 Y RECHAR SHE",2.00-
,"4218B","R",28.95,$347.40,"BUSHMILLS RED BUSH",4.00
"#","4229B","V",133.95,$803.70,"MARCA NEGRA ENSAMBLE",2.00-
"#","4243B","V",71.95,$863.40,"POLUGAR RYE VODKA",1.00-
,"4247B","S",73.20,$878.40,"OHISHI WHISKY BRANDY CASK",2.25
,"4248B","S",73.20,$878.40,"OHISHI WHISKY SHERRY CASK",2.25
,"4316B","R",15.95,$191.40,"SINFIRE APPLE",2.00
,"4318B","T",15.95,$191.40,"SINFIRE VANILLA",2.00
,"4321B","R",19.95,$239.40,"JIM BEAM VANILLA",3.00
"#","4327B","V",46.95,$563.40,"POLUGAR #4 HONEY & ALLSPIC",1.00-
"#","4328B","V",58.90,$353.40,"MIEL DE TIERRA JOVEN",2.05-
"#","4329B","V",88.95,$533.70,"MIEL DE TIERRA SALMIANA",2.00-
,"4450B","H",20.95,$125.70,"SAILOR JERRY W/2 OIL CAN",4.00
,"4454B","H",24.95,$149.70,"RUMCHATA HOLIDAY VAP",3.00
,"4473B","H",28.95,$173.70,"BUSHMILLS W/ICE BALL MOLDS",4.00
"%","4578B","L",22.95,$275.40,"HORNITOS CRISTALINO",2.00-
,"4597B","R",31.95,$383.40,"THE SEXTON",3.00
,"4652B","R",34.95,$419.40,"JAMESON CASKMATES IPA",3.00
,"4732B","S",65.95,$395.70,"PLANTATION ST LUCIA 2005",11.00
"#","4738B","D",92.30,$553.80,"WHISTLEPIG FARMSTOCK",0.00
,"4747B","S",35.95,$431.40,"BANK NOTE 5 YR BLEND IRISH",1.00
,"4774B","S",65.95,$395.70,"PLANTATION TRINIDAD 2003",17.00
,"4807B","T",19.95,$239.40,"SKYY INFUSIONS WATERMELON",4.00
,"4823B","S",76.35,$458.10,"WICKED HARVEST BOURBON",4.80
,"4828B","S",35.15,$210.90,"LANDY COGNAC VS",0.20
"#","4833B","V",61.95,$371.70,"PLANTATION MULTI ISLAND XO",2.00-
,"4839B","S",26.95,$323.40,"ROTHMAN & WINTER PEACH",1.00
,"4874B","S",78.15,$937.80,"KURAYOSHI 8 YR MALT WHISKY",2.25
,"4875B","S",95.65,"$1,147.80","KURAYOSHI 12 YR WHISKY",2.25
,"4876B","S",201.75,"$2,421.00","KURAYOSHI 18 YR MALT WHISK",2.25
,"5021B","H",22.95,$137.70,"JAGERMEISTER W/ICE MOLD",3.00-
,"5109B","S",47.55,$285.30,"DON CICCIO & FIGLI CONCERT",235.25-
"*","5137B","S",28.00,$168.00,"8 PM WHISKEY",0.00
"*","5138B","S",56.85,$341.10,"PIUCINQUE GIN",0.00
"*","5139B","S",358.60,"$2,151.60","SAMAROLI LEDAIG 1997",0.00
"*","5140B","S",823.10,"$4,938.60","SAMAROLI 1988 BUNNAHABHAIN",0.00
"*","5141B","S",443.15,"$2,658.90","SAMAROLI FETTERCAIRN",0.00
"*","5142B","S",769.45,"$4,616.70","SAMAROLI MACDUFF SHERRY SM",0.00
"*","5143B","S",23.15,$138.90,"KINKY GREEN LIQUEUR",0.00
"*","5144B","S",33.55,$402.60,"SNOWCREST VODKA",0.00
"*","5145B","S",12.95,$155.40,"JOLLY ROGER SILVER RUM",0.00
"*","5146B","S",12.95,$155.40,"JOLLY ROGER SPEC DARK RUM",0.00
"*","5147B","S",85.00,$510.00,"FOURSQUARE RUM 2005 SINGLE",0.00
"*","5149B","S",64.95,$389.70,"FOURSQUARE RUM - PREMISE",0.00
"*","5150B","S",42.00,$252.00,"EMPRESS 1908 GIN",0.00
"*","5151B","O",29.95,$269.55,"FIVE FARMS IRISH CREAM LIQ",0.00
"*","5152B","S",319.95,$959.85,"HIGHLAND PARK - THE LIGHT",0.00
"*","5153B","S",12.95,$155.40,"JOLLY ROGER COCONUT RUM",0.00
"*","5154B","S",12.95,$155.40,"JOLLY ROGER SPICED RUM",0.00
"*","5155B","S",83.60,$501.60,"LA FEE PARISIENNE ABSINTHE",0.00
"*","5156B","S",78.55,$471.30,"LA FEE BLANCHE ABSINTHE",0.00
"*","5157B","S",47.00,$282.00,"TEMPUS FUGIT CREME DE BANA",0.00
"*","5158B","S",59.95,$359.70,"SAN MATIAS TAHONA REPOSADO",0.00
"*","5159B","T",24.95,$299.40,"WILD ROOTS GIN",0.00
"*","5160B","O",75.95,$455.70,"WHISTLEPIG FARMSTOCK RYE C",0.00
"*","5161B","T",28.00,$336.00,"MARCOTTE BROC'S BUTTERY CO",0.00
